,link,price,availability,title,author,categories
731,https://echo-books.com/shop/zov-glubiny/,"14,66",В наличии,Зов глубины,"Брандис К., Цимек Х.",Детская литература
732,https://echo-books.com/shop/vozhd-krasnokozhih-s-illyustracziyami-2/,"9,89",Нет в наличии,Вождь краснокожих (с иллюстрациями),О. Генри,Детская литература
733,https://echo-books.com/shop/vozhd-krasnokozhih-s-illyustracziyami/,"9,89",Нет в наличии,Вождь краснокожих (с иллюстрациями),О. Генри,Детская литература
734,https://echo-books.com/shop/belyj-klyk-il-v-kanivcza-3/,"10,60",Нет в наличии,Белый Клык (ил. В. Канивца),Лондон Д.,Детская литература
735,https://echo-books.com/shop/ya-vesyolyj-chipollino-pesenki/,"8,79",Нет в наличии,Я-весёлый Чиполлино…Песенки,Маршак С.Я.,Детская литература
736,https://echo-books.com/shop/eto-vsyo-moyo-rodnoe-stihi-i-rasskazy-o-rossii/,"8,62",Нет в наличии,Это всё – моё родное! Стихи и рассказы о России,"Маршак С.Я., Орлов В.Н., Барто А.Л.",Детская литература
737,https://echo-books.com/shop/chto-rastyot-na-yolke-zimnie-stihi-risunki-i-petelinoj/,"13,40",Нет в наличии,Что растёт на ёлке? Зимние стихи. Рисунки И. Петелиной,Маршак С.Я.,Детская литература
738,https://echo-books.com/shop/chitaem-s-malyshom-ot-5-do-6-a-chto-u-vas/,"19,35",Нет в наличии,Читаем с малышом. От 5 до 6. А что у вас?,Маршак С.Я.,Детская литература
739,https://echo-books.com/shop/chitaem-malyshu-ot-1-goda-do-3-let/,"20,33",В наличии,Читаем малышу от 1 года до 3 лет,"Маршак С.Я., Михалков С.В., Чуковский К.И.",Детская литература
740,https://echo-books.com/shop/chajka-vishnevyj-sad-2/,"9,74",Нет в наличии,Чайка. Вишневый сад,Чехов А.П.,Детская литература
741,https://echo-books.com/shop/usatyj-polosatyj-skazochnye-istorii/,"8,95",Нет в наличии,Усатый-полосатый. Сказочные истории,Маршак С.Я.,Детская литература
742,https://echo-books.com/shop/usatyj-polosatyj-risunki-v-lebedeva/,"16,12",Нет в наличии,Усатый-полосатый. Рисунки В. Лебедева,Маршак С.Я.,Детская литература
743,https://echo-books.com/shop/usatyj-polosatyj-2/,"6,15",Нет в наличии,Усатый-полосатый,Маршак С.Я.,Детская литература
744,https://echo-books.com/shop/umnye-veshhi/,"15,59",В наличии,Умные вещи,Маршак С.Я.,Детская литература
745,https://echo-books.com/shop/tihaya-skazka-2/,"8,53",В наличии,Тихая сказка,Маршак С.Я.,Детская литература
746,https://echo-books.com/shop/tihaya-skazka/,"8,96",В наличии,Тихая сказка,Маршак С.Я.,Детская литература
747,https://echo-books.com/shop/tajna-starogo-sunduka/,"13,16",Нет в наличии,Тайна старого сундука,Абгарян Н.,Детская литература
748,https://echo-books.com/shop/schaste-mury/,"15,36",Нет в наличии,Счастье Муры,Абгарян Н.,Детская литература
749,https://echo-books.com/shop/stihi-o-shkole/,"8,64",В наличии,Стихи о школе,Маршак С.Я.,Детская литература
750,https://echo-books.com/shop/stihi-i-skazki-dlya-samyh-malenkih-2/,"19,61",В наличии,Стихи и сказки для самых маленьких,Маршак С.Я.,Детская литература
751,https://echo-books.com/shop/stihi-i-skazki-dlya-malenkih/,"18,65",В наличии,Стихи и сказки для маленьких,Маршак С.Я.,Детская литература
752,https://echo-books.com/shop/skazki-zasypajki/,"7,02",Нет в наличии,Сказки-засыпайки,"Маршак С.Я., Синявский П.А., Козлов С.Г.",Детская литература
753,https://echo-books.com/shop/skazki-ot-strahov/,"8,01",Нет в наличии,Сказки от страхов,"Маршак С.Я., Ушинский К.Д., Толстой А.Н.",Детская литература
754,https://echo-books.com/shop/skazki-i-stihi-pro-novyj-god/,"7,87",Нет в наличии,Сказки и стихи про Новый год,"Маршак С.Я., Барто А.Л., Михалков С.В. и др.",Детская литература
755,https://echo-books.com/shop/skazki-i-stihi-dlya-malyshej/,"10,54",В наличии,Сказки и стихи для малышей,Маршак С.Я.,Детская литература
756,https://echo-books.com/shop/skazki-dlya-podgotovki-k-shkole/,"8,07",Нет в наличии,Сказки для подготовки к школе,"Маршак С.Я., Остер Г.Б., Карганова Е.Г.",Детская литература
757,https://echo-books.com/shop/skazki-dlya-devochek/,"11,55",В наличии,Сказки для девочек,"Маршак С.Я., Михалков С.В., Катаев В.П., Тэффи Н.А., и др.",Детская литература
758,https://echo-books.com/shop/skazka-o-glupom-myshonke-skazka-ob-umnom-myshonke/,"6,17",Нет в наличии,Сказка о глупом мышонке. Сказка об умном мышонке,Маршак С.Я.,Детская литература
759,https://echo-books.com/shop/skazka-o-glupom-myshonke-il-bordyug-s-i-trepenok-n-a/,"5,77",Нет в наличии,"Сказка о глупом мышонке (ил. Бордюг С.И., Трепенок Н.А.)",Маршак С.Я.,Детская литература
760,https://echo-books.com/shop/skazka-o-glupom-myshonke-5/,"11,68",Нет в наличии,Сказка о глупом мышонке,Маршак С.Я.,"Детская литература, Прикладная литература"
761,https://echo-books.com/shop/sinie-listya-skazki-rasskazy/,"8,54",Нет в наличии,"Синие листья. Сказки, рассказы",Осеева В.А.,Детская литература
762,https://echo-books.com/shop/semejka-pesenki/,"8,48",В наличии,Семейка. Песенки,Маршак С.Я.,Детская литература
763,https://echo-books.com/shop/segodnya-zavtra-ili-vchera-skazki-narodov-mira/,"14,76",Нет в наличии,"Сегодня, завтра или вчера. Сказки народов мира",Маршак С.Я.,Детская литература
764,https://echo-books.com/shop/samye-smeshnye-rasskazy-pro-shkolu/,"12,14",Нет в наличии,Самые смешные рассказы про школу,"Осеева В.А., Пивоварова И.М., Драгунский В.Ю.",Детская литература
765,https://echo-books.com/shop/s-marshak-lyubimye-stihi-i-skazki/,"8,57",Нет в наличии,С. Маршак. Любимые стихи и сказки,Маршак С.Я.,Детская литература
766,https://echo-books.com/shop/russkaya-poeziya-xix-veka-2/,"9,79",Нет в наличии,Русская поэзия XIX века,"Тютчев Ф.И., Кольцов А.В., Толстой А.К., Тургенев И.С., Полонский Я.П., Фет А.А., Майков А.Н., Никитин И.С., Плещеев А.Н., Суриков И.З.,Глинка Ф.Н.,",Детская литература
767,https://echo-books.com/shop/russkaya-klassika-v-illyustracziyah-gennadiya-spirina/,"23,23",Нет в наличии,Русская классика в иллюстрациях Геннадия Спирина,"Пушкин А.С., Гоголь Н.В.,Чехов А.П., Погорельский А.",Детская литература
768,https://echo-books.com/shop/robin-bobin-anglijskie-narodnye-pesenki/,"8,63",Нет в наличии,Робин-Бобин. Английские народные песенки,Маршак С.Я.,Детская литература
769,https://echo-books.com/shop/rasskazy-russkih-pisatelej-3/,"9,12",Нет в наличии,Рассказы русских писателей,"Чехов А.П., Зощенко М.М., Драгунский В.Ю. и другие",Детская литература
770,https://echo-books.com/shop/rasskazy-6/,"12,38",Нет в наличии,Рассказы,Пришвин М.М.,Детская литература
771,https://echo-books.com/shop/rasskazy-5/,"10,03",Нет в наличии,Рассказы,Чехов А.П.,Детская литература
772,https://echo-books.com/shop/raznoczvetnaya-kniga/,"7,43",Нет в наличии,Разноцветная книга,Маршак С.Я.,Детская литература
773,https://echo-books.com/shop/proishozhdenie-zhizni-ot-meteorita-do-cheloveka/,"16,26",В наличии,Происхождение жизни. От метеорита до человека,Лескова Н.Л.,Детская литература
774,https://echo-books.com/shop/prazdnik-novogodnij/,"15,66",Нет в наличии,Праздник новогодний,Маршак С.Я.,Детская литература
775,https://echo-books.com/shop/pochta-stihi-i-skazki/,"13,18",В наличии,Почта. Стихи и сказки,Маршак С.Я.,Детская литература
776,https://echo-books.com/shop/podvodnyj-mir-10/,"13,93",Нет в наличии,Подводный мир,"Мартин Д., Фрит А., Джеймс Э.",Детская литература
777,https://echo-books.com/shop/plyvet-plyvet-korablik-ris-v-konashevicha/,"15,65",В наличии,"Плывет, плывет кораблик. Рис. В. Конашевича",Маршак С.Я.,Детская литература
778,https://echo-books.com/shop/pesnya-o-yolke/,"5,17",Нет в наличии,Песня о Ёлке,Маршак С.Я.,Детская литература
779,https://echo-books.com/shop/pesenki-poteshki-kolybelnye-dlya-malyshej/,"18,56",Нет в наличии,"Песенки, потешки, колыбельные для малышей","Маршак С.Я., Чуковский К.И., Токмакова И.П.",Детская литература
